id;name;description;code;display_name;is_active;sort_order;domain;resource;action
'01932f00-0090-7000-8000-000000000001';'Component category: read';'View access to component category.';'catalog.component-category:read';'Component category: read';true;1;'catalog';'catalog.component-category';'read'
'01932f00-0090-7000-8000-000000000002';'Component category: create';'Create access to component category.';'catalog.component-category:create';'Component category: create';true;2;'catalog';'catalog.component-category';'create'
'01932f00-0090-7000-8000-000000000003';'Component category: update';'Update access to component category.';'catalog.component-category:update';'Component category: update';true;3;'catalog';'catalog.component-category';'update'
'01932f00-0090-7000-8000-000000000004';'Component category: delete';'Delete access to component category.';'catalog.component-category:delete';'Component category: delete';true;4;'catalog';'catalog.component-category';'delete'
'01932f00-0090-7000-8000-000000000005';'Component model: read';'View access to component model.';'catalog.component-model:read';'Component model: read';true;5;'catalog';'catalog.component-model';'read'
'01932f00-0090-7000-8000-000000000006';'Component model: create';'Create access to component model.';'catalog.component-model:create';'Component model: create';true;6;'catalog';'catalog.component-model';'create'
'01932f00-0090-7000-8000-000000000007';'Component model: update';'Update access to component model.';'catalog.component-model:update';'Component model: update';true;7;'catalog';'catalog.component-model';'update'
'01932f00-0090-7000-8000-000000000008';'Component model: delete';'Delete access to component model.';'catalog.component-model:delete';'Component model: delete';true;8;'catalog';'catalog.component-model';'delete'
'01932f00-0090-7000-8000-000000000009';'Component nature: read';'View access to component nature.';'catalog.component-nature:read';'Component nature: read';true;9;'catalog';'catalog.component-nature';'read'
'01932f00-0090-7000-8000-000000000010';'Component nature: create';'Create access to component nature.';'catalog.component-nature:create';'Component nature: create';true;10;'catalog';'catalog.component-nature';'create'
'01932f00-0090-7000-8000-000000000011';'Component nature: update';'Update access to component nature.';'catalog.component-nature:update';'Component nature: update';true;11;'catalog';'catalog.component-nature';'update'
'01932f00-0090-7000-8000-000000000012';'Component nature: delete';'Delete access to component nature.';'catalog.component-nature:delete';'Component nature: delete';true;12;'catalog';'catalog.component-nature';'delete'
'01932f00-0090-7000-8000-000000000013';'Component status: read';'View access to component status.';'catalog.component-status:read';'Component status: read';true;13;'catalog';'catalog.component-status';'read'
'01932f00-0090-7000-8000-000000000014';'Component status: create';'Create access to component status.';'catalog.component-status:create';'Component status: create';true;14;'catalog';'catalog.component-status';'create'
'01932f00-0090-7000-8000-000000000015';'Component status: update';'Update access to component status.';'catalog.component-status:update';'Component status: update';true;15;'catalog';'catalog.component-status';'update'
'01932f00-0090-7000-8000-000000000016';'Component status: delete';'Delete access to component status.';'catalog.component-status:delete';'Component status: delete';true;16;'catalog';'catalog.component-status';'delete'
'01932f00-0090-7000-8000-000000000017';'Component type: read';'View access to component type.';'catalog.component-type:read';'Component type: read';true;17;'catalog';'catalog.component-type';'read'
'01932f00-0090-7000-8000-000000000018';'Component type: create';'Create access to component type.';'catalog.component-type:create';'Component type: create';true;18;'catalog';'catalog.component-type';'create'
'01932f00-0090-7000-8000-000000000019';'Component type: update';'Update access to component type.';'catalog.component-type:update';'Component type: update';true;19;'catalog';'catalog.component-type';'update'
'01932f00-0090-7000-8000-000000000020';'Component type: delete';'Delete access to component type.';'catalog.component-type:delete';'Component type: delete';true;20;'catalog';'catalog.component-type';'delete'
'01932f00-0090-7000-8000-000000000021';'Installable type: read';'View access to installable type.';'catalog.installable-type:read';'Installable type: read';true;21;'catalog';'catalog.installable-type';'read'
'01932f00-0090-7000-8000-000000000022';'Installable type: create';'Create access to installable type.';'catalog.installable-type:create';'Installable type: create';true;22;'catalog';'catalog.installable-type';'create'
'01932f00-0090-7000-8000-000000000023';'Installable type: update';'Update access to installable type.';'catalog.installable-type:update';'Installable type: update';true;23;'catalog';'catalog.installable-type';'update'
'01932f00-0090-7000-8000-000000000024';'Installable type: delete';'Delete access to installable type.';'catalog.installable-type:delete';'Installable type: delete';true;24;'catalog';'catalog.installable-type';'delete'
