component_category_id;property_key;property_value
'01932f00-0001-7000-8000-000000000001';'typical_lifespan_years';'7'
'01932f00-0001-7000-8000-000000000001';'requires_climate_control';'true'
'01932f00-0001-7000-8000-000000000001';'maintenance_priority';'high'
'01932f00-0001-7000-8000-000000000001';'vendor_support_critical';'true'
'01932f00-0001-7000-8000-000000000002';'typical_lifespan_years';'15'
'01932f00-0001-7000-8000-000000000002';'requires_climate_control';'false'
'01932f00-0001-7000-8000-000000000002';'maintenance_priority';'medium'
'01932f00-0001-7000-8000-000000000002';'weight_capacity_kg';'1000'
'01932f00-0001-7000-8000-000000000002';'material_type';'steel'
'01932f00-0001-7000-8000-000000000003';'typical_lifespan_years';'20'
'01932f00-0001-7000-8000-000000000003';'requires_climate_control';'false'
'01932f00-0001-7000-8000-000000000003';'maintenance_priority';'low'
'01932f00-0001-7000-8000-000000000003';'cable_standards';'TIA-568'
'01932f00-0001-7000-8000-000000000003';'testing_required';'true'
'01932f00-0001-7000-8000-000000000004';'typical_lifespan_years';'10'
'01932f00-0001-7000-8000-000000000004';'requires_climate_control';'true'
'01932f00-0001-7000-8000-000000000004';'maintenance_priority';'critical'
'01932f00-0001-7000-8000-000000000004';'backup_required';'true'
'01932f00-0001-7000-8000-000000000004';'monitoring_required';'true'
'01932f00-0001-7000-8000-000000000005';'typical_lifespan_years';'5'
'01932f00-0001-7000-8000-000000000005';'hot_swappable';'true'
'01932f00-0001-7000-8000-000000000005';'vendor_specific';'true'
'01932f00-0001-7000-8000-000000000005';'compatibility_check_required';'true'
'01932f00-0001-7000-8000-000000000006';'typical_lifespan_years';'10'
'01932f00-0001-7000-8000-000000000006';'installation_difficulty';'medium'
'01932f00-0001-7000-8000-000000000006';'requires_tools';'true'
'01932f00-0001-7000-8000-000000000006';'material_type';'metal'
