component_status_id;property_key;property_value
'01932f00-0003-7000-8000-000000000001';'requires_inspection';'true'
'01932f00-0003-7000-8000-000000000001';'requires_documentation';'true'
'01932f00-0003-7000-8000-000000000001';'warranty_registration_required';'true'
'01932f00-0003-7000-8000-000000000001';'default_storage_location';'receiving_area'
'01932f00-0003-7000-8000-000000000001';'max_storage_days';'30'
'01932f00-0003-7000-8000-000000000002';'storage_location_type';'warehouse'
'01932f00-0003-7000-8000-000000000002';'requires_climate_control';'true'
'01932f00-0003-7000-8000-000000000002';'periodic_inspection_days';'90'
'01932f00-0003-7000-8000-000000000002';'can_be_pulled_for_deployment';'true'
'01932f00-0003-7000-8000-000000000002';'asset_tracking_required';'true'
'01932f00-0003-7000-8000-000000000003';'reservation_max_days';'60'
'01932f00-0003-7000-8000-000000000003';'requires_deployment_plan';'true'
'01932f00-0003-7000-8000-000000000003';'auto_release_on_expiry';'true'
'01932f00-0003-7000-8000-000000000003';'notification_days_before_expiry';'7'
'01932f00-0003-7000-8000-000000000003';'requires_approval';'true'
'01932f00-0003-7000-8000-000000000004';'requires_change_ticket';'true'
'01932f00-0003-7000-8000-000000000004';'configuration_backup_required';'true'
'01932f00-0003-7000-8000-000000000004';'testing_phase_required';'true'
'01932f00-0003-7000-8000-000000000004';'rollback_plan_required';'true'
'01932f00-0003-7000-8000-000000000004';'max_deployment_hours';'8'
'01932f00-0003-7000-8000-000000000005';'monitoring_enabled';'true'
'01932f00-0003-7000-8000-000000000005';'alert_on_status_change';'true'
'01932f00-0003-7000-8000-000000000005';'performance_tracking';'true'
'01932f00-0003-7000-8000-000000000005';'sla_applicable';'true'
'01932f00-0003-7000-8000-000000000005';'uptime_target_percent';'99.9'
'01932f00-0003-7000-8000-000000000006';'maintenance_window_required';'true'
'01932f00-0003-7000-8000-000000000006';'notification_hours_advance';'24'
'01932f00-0003-7000-8000-000000000006';'backup_component_recommended';'true'
'01932f00-0003-7000-8000-000000000006';'max_maintenance_hours';'4'
'01932f00-0003-7000-8000-000000000006';'post_maintenance_testing';'true'
'01932f00-0003-7000-8000-000000000007';'escalation_required';'true'
'01932f00-0003-7000-8000-000000000007';'incident_ticket_required';'true'
'01932f00-0003-7000-8000-000000000007';'sla_impact_level';'medium'
'01932f00-0003-7000-8000-000000000007';'monitoring_frequency_minutes';'5'
'01932f00-0003-7000-8000-000000000007';'auto_alert_stakeholders';'true'
'01932f00-0003-7000-8000-000000000008';'critical_incident';'true'
'01932f00-0003-7000-8000-000000000008';'immediate_response_required';'true'
'01932f00-0003-7000-8000-000000000008';'rca_required';'true'
'01932f00-0003-7000-8000-000000000008';'sla_impact_level';'critical'
'01932f00-0003-7000-8000-000000000008';'escalation_level';'high'
'01932f00-0003-7000-8000-000000000008';'replacement_priority';'urgent'
'01932f00-0003-7000-8000-000000000009';'decommission_plan_required';'true'
'01932f00-0003-7000-8000-000000000009';'data_migration_required';'true'
'01932f00-0003-7000-8000-000000000009';'backup_retention_days';'90'
'01932f00-0003-7000-8000-000000000009';'configuration_archive_required';'true'
'01932f00-0003-7000-8000-000000000009';'asset_audit_required';'true'
'01932f00-0003-7000-8000-000000000010';'disposal_method_required';'true'
'01932f00-0003-7000-8000-000000000010';'data_sanitization_required';'true'
'01932f00-0003-7000-8000-000000000010';'certificate_of_destruction';'true'
'01932f00-0003-7000-8000-000000000010';'asset_record_retention_years';'7'
'01932f00-0003-7000-8000-000000000010';'salvage_value_assessment';'true'
