id;name;description;port_type;equipment_id;connector_id;port_number;port_label;status;admin_status;operational_status;speed_mbps;max_speed_mbps;duplex_mode;auto_negotiation;connector_type;medium_type;access_vlan;native_vlan;port_mode;poe_enabled;poe_class;poe_power_watts;poe_max_power_watts;bytes_in;bytes_out;packets_in;packets_out;errors_in;errors_out;discards_in;discards_out;last_change;last_activity;stats_last_reset;configuration_notes;monitoring_enabled;ethernet_standard;mdi_mdix_mode;cable_length_meters;link_partner_info;fiber_type;wavelength_nm;fiber_standard;transmission_distance_km;tx_power_dbm;rx_power_dbm;optical_loss_db
"01932f00-0080-7000-8000-000000000001";"Gi1/0/1";"Uplink to Core Switch 2";"ETHERNET";"01932f00-0050-7000-8000-000000000005";;1;"Gi1/0/1";"UP";"UP";"UP";10000;10000;"FULL";true;"RJ45";"COPPER";1;1;"TRUNK";false;;;;;;;;;;;"2024-12-01 10:00:00";"2024-12-28 10:00:00";"2024-01-01";"Uplink port";true;"10GBASE-T";"AUTO";5;"Cisco C9200-48P";;;;;;;;
"01932f00-0080-7000-8000-000000000002";"Gi1/0/2";"Server connection";"ETHERNET";"01932f00-0050-7000-8000-000000000005";;2;"Gi1/0/2";"UP";"UP";"UP";1000;1000;"FULL";true;"RJ45";"COPPER";100;1;"ACCESS";false;;;;;;;;;;;"2024-12-01 10:00:00";"2024-12-28 09:55:00";"2024-01-01";"Server 1";true;"1000BASE-T";"AUTO";12;"Dell PowerEdge R740";;;;;;;;
"01932f00-0080-7000-8000-000000000003";"Gi1/0/3";"AP connection";"ETHERNET";"01932f00-0050-7000-8000-000000000005";;3;"Gi1/0/3";"UP";"UP";"UP";1000;1000;"FULL";true;"RJ45";"COPPER";100;1;"ACCESS";true;4;12.5;30;125000000;85000000;950000;720000;0;0;0;0;"2024-12-15 08:00:00";"2024-12-28 10:00:00";"2024-01-01";"PoE for AP";true;"1000BASE-T";"AUTO";25;"Ubiquiti U6-Pro";;;;;;;
"01932f00-0080-7000-8000-000000000004";"Gi1/0/4";"Workstation";"ETHERNET";"01932f00-0050-7000-8000-000000000005";;4;"Gi1/0/4";"UP";"UP";"UP";1000;1000;"FULL";true;"RJ45";"COPPER";10;1;"ACCESS";false;;;50000000;35000000;380000;290000;0;0;0;0;"2024-12-20 09:00:00";"2024-12-28 09:45:00";"2024-01-01";"IT Workstation";true;"1000BASE-T";"AUTO";8;"Intel I219-LM";;;;;;;;
"01932f00-0080-7000-8000-000000000005";"Gi1/0/5";"VoIP Phone";"ETHERNET";"01932f00-0050-7000-8000-000000000005";;5;"Gi1/0/5";"UP";"UP";"UP";100;1000;"FULL";true;"RJ45";"COPPER";110;1;"ACCESS";true;2;7.5;15.4;8500000;6200000;95000;82000;0;0;0;0;"2024-12-18 11:00:00";"2024-12-28 09:58:00";"2024-01-01";"VoIP with PoE";true;"100BASE-TX";"AUTO";15;"Cisco IP Phone 8845";;;;;;;
"01932f00-0080-7000-8000-000000000006";"Gi1/0/6";"Unused";"ETHERNET";"01932f00-0050-7000-8000-000000000005";;6;"Gi1/0/6";"DOWN";"UP";"DOWN";;1000;"FULL";true;"RJ45";"COPPER";;;"ACCESS";false;;;;;;;;;;;;;"2024-01-15";"Available for use";true;"1000BASE-T";"AUTO";;;;;;;;;;
"01932f00-0080-7000-8000-000000000007";"Te1/1/1";"10G SFP+ Uplink";"FIBER";"01932f00-0050-7000-8000-000000000005";;49;"Te1/1/1";"UP";"UP";"UP";10000;10000;"FULL";false;"SFP+";"FIBER";;;"TRUNK";false;;;;;;;;;;;;;"2024-01-15";"10G fiber uplink";true;;;;;"SINGLE_MODE";1310;"10GBASE-LR";10;-2.5;-8.2;5.7;
"01932f00-0080-7000-8000-000000000008";"Te1/1/2";"10G SFP+ Inter-rack";"FIBER";"01932f00-0050-7000-8000-000000000005";;50;"Te1/1/2";"UP";"UP";"UP";10000;10000;"FULL";false;"SFP+";"FIBER";;;"TRUNK";false;;;;;;;;;;;;;"2024-01-16";"Fiber to Rack 2";true;;;;;"SINGLE_MODE";1310;"10GBASE-LR";10;-2.3;-7.8;5.5;
"01932f00-0080-7000-8000-000000000009";"Gi1/0/1";"Uplink to Core Switch 1";"ETHERNET";"01932f00-0050-7000-8000-000000000006";;1;"Gi1/0/1";"UP";"UP";"UP";10000;10000;"FULL";true;"RJ45";"COPPER";1;1;"TRUNK";false;;;;;;;;;;;"2024-12-01 10:00:00";"2024-12-28 10:00:00";"2024-01-01";"Uplink port";true;"10GBASE-T";"AUTO";5;"Cisco C9200-48P";;;;;;;;
"01932f00-0080-7000-8000-000000000010";"Gi1/0/2";"Server connection";"ETHERNET";"01932f00-0050-7000-8000-000000000006";;2;"Gi1/0/2";"UP";"UP";"UP";1000;1000;"FULL";true;"RJ45";"COPPER";100;1;"ACCESS";false;;;;;;;;;;;"2024-12-01 10:00:00";"2024-12-28 09:50:00";"2024-01-01";"Server 2";true;"1000BASE-T";"AUTO";10;"HP ProLiant DL380";;;;;;;;
